Name,Comment,Time,Likes,Reply Count
agus johan,Maksdxa BPJS jetenaga kerjaan skrang pengusaha tdj srius mebdaftar ke BPJS ketenaga kerjaan mkasih pak,2021-12-12T06:54:21Z,0,0
agus johan,Bahkan sekarang  kainbpengusaha. TDK mendaftarkan   ke BPJS ketenga jerjaan,2021-12-12T06:52:30Z,0,0
agus johan,Pemberian THR tlong di awasi pak maksih,2021-12-12T06:51:18Z,0,0
agus johan,Kami usul pak penfawasan  pemberian  upah  dan the di tiao propinsin biasa Depnaker kurang   tegas. Biasa  pengusaha lain  TDK patuh   pemberain the. Kami  usul di hari raya nant klu BLH di turunkan. Pengawasan   pemberian THR   maaf mksih,2021-12-12T06:50:35Z,0,0
Kyara Putri inshafiana,Ump naik engga ada 1% sehat boss,2021-11-22T15:27:46Z,0,0
Joko Waluyo,Saya meyesal pilih bpk teryata malah bikin susah rayat yang miskin makin di jajah oleh pengusah bukanya gencek koropsi malah orang di bikin sensarah rayat,2021-11-21T00:33:39Z,0,0
Sahla Sakila,Serah da ah...atur da,2021-11-09T16:14:24Z,0,0
Daryono Agung,Uu cipta kerja merugikan karyawan seperti saya .saya kerja 25.5 th dan umur 55 thun tpi potongan pensiun 20 jt lebih ditunggu 25 thun merugi tolong pak revisi uu cita kerja dan omy guslow,2021-10-30T12:21:17Z,0,0
Nanda birama,"OMDO,,buktinya lowongan kerja tidak mau menerima fresh graduate..",2021-09-18T10:21:44Z,0,4
Muhammad Resdiyanto Surya putra,@Nanda birama iya banyak ngeluh nya dripada kerja,2021-11-13T16:54:13Z,0,
Nanda birama,Ah masak..Ga menyebutkan gaji.. Kadang sdh bukan calon kandidat kok,2021-11-13T16:47:29Z,0,
Muhammad Resdiyanto Surya putra,"Kemampuan minus tapi mau gaji gede, ya perusahaan ogah lah mau buka lowongan",2021-10-29T22:54:59Z,0,
Muhammad Resdiyanto Surya putra,Krn kemampuan masih minus,2021-10-29T22:54:36Z,0,
rachmat kasmanto,Saya merasakan uu cipta kerja..sungguh menyakitkan 38 thn kerja..tidak dipensiun tapi di phk memang licik pengusaha non pribumi...semoga hanya saya saja...saudara lainnya tidak seperti saya ...amiiin,2021-08-23T23:13:19Z,0,0
Samsul Alam,🙏🙏🙏,2021-05-12T13:21:52Z,0,0
Rahman Edi,Seharus pemimpin harus memikir masa tua sesorang ketika sudah pensiun. Tidak bisa bekerja lagi. Karena masa mudah sudah di habiskan bekerja. Ini yg kaya makin kaya yg miskin makin miskin. Seharusnya lebih bijak jadi peminpin jng sampai membuat kebijakan yg salah,2021-05-10T01:02:29Z,0,0
Paeran PSHT,Banyak yg. Ket ipu dari PT ECO besb Bandung sinergi,2021-03-20T09:48:36Z,0,0
Ahmad Sujana,Gara gara UUD cipta kerja.ribuan karyawan tidak dapat apa apa.contoh kecil saya pribadi.selama kerja belasan taun mengundurkan diri di PT gunta samba group yang di Kaltim saya tidak dapat apa apa.bilangnya di hapus sama bapa persiden.ribuan karyawan dari sabang sampai meroke,2021-03-16T15:55:13Z,0,0
Arina Hayati,Sudah terbukti... lihat lah bbrp cuti kerja yg dikurangi... mana katanya umk naik?...,2021-03-08T14:44:15Z,0,0
Allxsio 35,Tutup aja partai yg suka korupsi uang,2021-02-05T16:59:47Z,0,0
Nurhayati Binti waginor,Janganltakut2masaLah,2021-02-03T03:37:30Z,0,0
Nurhayati Binti waginor,PakljokowiltoLongljanganlbisneslindonesialkongsi2maLaysialjanganlyalmuhidinldanl lmahadhir,2021-02-03T03:37:09Z,0,0
Adi Edo,gigit aja pak ...,2021-01-26T15:41:04Z,0,0
Nurhayati Binti waginor,PakjokowilharuslbuatlsepertilhoLenlsupayaltidaklbanjirlLagilLepaslbuatlsukuran,2021-01-26T13:53:54Z,0,0
Nurhayati Binti waginor,Sekaranglsudahltidaklbanjirl,2021-01-26T13:51:56Z,0,0
Nurhayati Binti waginor,PakljokowillkaLawllLautlbanjirldilmana2buatLahlllsepertillcara2lnegrilhoLenlldengarl2carayalbuatlLubangllduLulnegrilhoLenlseLaLulbanjir,2021-01-26T13:51:06Z,0,0
Nurhayati Binti waginor,Pakljokowilberildukunganltukljeneresenlanak bangs Indonesia amin,2021-01-23T06:40:08Z,0,0
Nurhayati Binti waginor,Pakljokowilumumlkanlanakllbangsalindonesia jeneresenllanaklbangsalindonesialperintahkanlsekoLahlkedokteran  danlsekoLahl teknoLojildanlarditeklpembangunanl atawlsekoLahlkompuyuterlatawlsekoLah mikeniklataw  lsanintisl lbanyaklpiLihanll kaLaw sekoLahlkedokteranlapa2saja negaralindonesialakanlluntung,2021-01-23T06:38:51Z,0,0
Nurhayati Binti waginor,Yanglmembinuhlyawalmanusialyangltidaklsesuil suhulbadanyalbisalmatiltotaLlsangat2menakutkan,2021-01-21T11:22:14Z,0,0
Nurhayati Binti waginor,Bisalrakyatlhatiyaltukarlhabislpejabatlpakljokowiltakut2tidaklmendukungl mana taulsepertilinilsiapalyanglrugillpakljokowilcepatllbetusahalstopl vaksinlcoronalyanglmembunuhlmanusialsuhulbadamlyal taklsesuai,2021-01-21T11:20:51Z,0,0
Nurhayati Binti waginor,PakljokowilboLehltaklvaksinlcoronaldilstoplkaLawltaklkematianlramailsiapalyangltanggungljawablyawalorangl2yangljadilkorbanlvaksinlcoronal,2021-01-21T11:16:34Z,0,0
Nurhayati Binti waginor,BisaltaklpakljokowilvaksinlcoronaldilstoplbuatlseLamatl 1duniahati2,2021-01-21T10:57:39Z,0,0
Nurhayati Binti waginor,Hanyaltuhanlsajalyanglbisalmenghidipkanlyawalorangl matilsiapalyangltamggungljawablsemualoranglantavidiolsuntiklvak trial matilmacam yawalayam,2021-01-21T10:56:23Z,0,0
Nurhayati Binti waginor,BiLaldilpaksalsuntiklvaksinlbadanltaklboLehlterimal10minitlorangldahljatuhlterusllmatillteruslsiapalyangltanggungljawablorangldahlmatilyawal taklbisaldihidupkanllkembaLilsiapa yangltangungl jawab,2021-01-21T10:53:54Z,0,0
Nurhayati Binti waginor,Pakljokowilsuhulbadanloranglberbeda2janganldilpaksakanl memangltakltakladaljaLanlLainltuklseLamatkanloranglLainljanganl,2021-01-21T10:50:52Z,0,0
Nurhayati Binti waginor,PakjokowilboLejltaklstop distill balding corona,2021-01-21T10:45:00Z,0,0
Nurhayati Binti waginor,Pakljokowilbukanlsemualoranglkondisilbadanlyalkuatl dilsuntiklvaksinl corona lsuhulbadanlseseoranglberbeda2kaLawl taklmauljanganldilpaksaldilharuskanl sadislbdtuL,2021-01-21T10:44:05Z,0,0
Nurhayati Binti waginor,SadislbetuLlsuntikanlvaksinl pembunuhanlramailoranglantar  vidiolll. I'll seramljugaldengarlya,2021-01-21T10:39:30Z,0,0
Nurhayati Binti waginor,BuatlyawalmeLayangllseramljugaldanl sudahlsusahlterusldilsuntikl matilmacamlyawalayam,2021-01-21T10:37:37Z,0,0
Nurhayati Binti waginor,Pakljokowiloranglyanglsudahlsuntikl vaksinlcoronalbukanlsehatldapatl1minggulsakit2terusllmatilsuntiklpembunuhanlmenyeramlkanloranglmasihlmaulhidupltuhanlberikanlyawalsuntiklvaksinllbuatlyawalmeLayangl,2021-01-21T10:36:26Z,0,0
Bayu Kurniawan,"Semangat pak swmoga sehat selalu dengan bapak KH maruf amin,beserta staf menteri,POlri,TNI,AU,AL,AD selamat bekerja pak",2021-01-07T23:58:26Z,0,0
Bayu Kurniawan,Semangat pak,2021-01-07T23:52:34Z,0,0
Uchil nob,"Hidup Prabowo

Allah huakbar",2021-01-07T10:03:24Z,0,0
Nurhayati Binti waginor,Sandilagaunollljugalsama,2021-01-06T08:32:31Z,0,0
Nurhayati Binti waginor,Pakjokowilhati2denganlprabowol2takl mendukunglpakl jokowil100peratuslhati2,2021-01-06T08:31:47Z,0,0
bima kun,"Kalau menurutku semua president itu baik dan bertangung Jawab sya  tak menutupi itu, tapi sejauh ini sya belum bisa menemukan president yang bisa tembak mati koruptor, maaf jika salah bicara.. Tapi penghabat majunya sebuah Negara adalah para koruptor, 
Terimakasih.",2021-01-03T04:00:11Z,0,0
Nurhayati Binti waginor,Pakljokowilllfpildilbubarkanltukarlnamalorang2yaldialjugaljanganlbiarkanltukarnamaljenislapa2sajalbubarkanljanganlbiarkarkageromboLanlrizielshihabl pakjokowildanlmenterillcepatlLaksanakan,2020-12-31T07:32:27Z,0,0
Rev7Hex ID,"Terlepas dr korupsi dengan terciptanya uu cipta kerja itu sangat membantu , tapi apa daya hukum terkait korupsi belum di revisi . Pasti nantinya akan ada korupsi skala besar , Sebaiknya sebelum merealisasikan UU cipta kerjanya harus merevisi hukuman terkait korupsi dulu , setidaknya paling ringan itu penjara seumur hidup serta penarikan aset & saham",2020-12-27T13:27:39Z,1,0
Nurhayati Binti waginor,Pall jokowilsabarl yaljagal kesehatanlpakljokowilminumllvitaminllcllmakanlbuahanl listirahatl yang lcukup,2020-12-25T05:47:34Z,0,0
Nurhayati Binti waginor,PakljokowilLaranglprabowoljanganlbebaskanl Rizieqlsbihabldilbebaskanlbahaya,2020-12-24T09:56:42Z,0,0
Nurhayati Binti waginor,Pakljokolwilhati2denganlprabowolmembebaskanlrizieqlshihablsusah 2 tangkaplprabowolsandiagalunoldahlmasuklkepemerintahanljaga2paklowiljanganlbagilpakljokowilLaranglprabowo,2020-12-24T09:55:07Z,0,0
Nurhayati Binti waginor,PakljokowilsiasatlmanaltaulbetuLlprabowoldendamlpakljokowil pakelLoyerllcepat2siasatlsiapaldaLanglya yanglmenuduhl gibranlcoLahlpakljokowilbuatlsemangatlberdoal,2020-12-24T06:20:40Z,0,0
Nurhayati Binti waginor,PakljokowicobasiasatlkorupsildanalbansoslsiapaldaLanglyaljangan lotaklprabowoldenganlorangldaLamlmauljatuhlkanlpakljokowildenganlgibran,2020-12-24T06:15:12Z,0,0
Nurhayati Binti waginor,Pakljokowilhati2sebeLumljadilsandiagaunolpakljokowilwaspadaLahpakjowiharuslpunyalmata2tultengoklkeLakuanyalsandiagaunolhari2seLidikiltapilhatil2,2020-12-23T03:53:24Z,0,0
Nurhayati Binti waginor,MemohonlpadaltuhanlmintalpetunjuksiapaldaLangyalyangltuduhlgibrran,2020-12-23T00:30:37Z,0,0
Nurhayati Binti waginor,Pakjokowilmintalpetunjukldenganltuhanlsembahyang gibranlteetuduhlcariltaulsiapaldaLangya,2020-12-23T00:29:09Z,0,0
Nurhayati Binti waginor,PakljokowitoLonglcepatl2lseLesaikanlmasaLahlgibranldanlmenatu pakljokowilseLesaikanlgibranlpunyal keslcarilbutil betuLl danlseLesaikanl bayaranl utanglnegaraladaluwanglLebihlbayarldabeLlagarlunanglnegaralcepatlhabisl kejarl nasal kerjalpakjokowilbaik2lsusun2lbaik2lagarlhasiLlyalcantikl lokllamin,2020-12-22T18:47:10Z,0,0
Nurhayati Binti waginor,Buatlpakjokowinasehattuklanakldanlmenantulmulamin,2020-12-22T18:11:23Z,0,0
Nurhayati Binti waginor,Pakljokowil1oranglsajaljadioranglpoLitikjadipresidenljanganlada.anaklatawlmenantuljadilpoLitiklnantiyalkacawkasihanlpakjokowi,2020-12-22T18:10:34Z,0,0
Nurhayati Binti waginor,Banyaklsetanlmenggangul inginlcarilmasaLahlmauljatuhkanlpakljokowil berusahalsemangatltuklkedepanyaltoLongl drikanlnegrilindonesial,2020-12-22T18:07:53Z,0,0
Nurhayati Binti waginor,JadilgibranljanganlkerjalpoLitiklkerjalyanglLainl Sakai menantulpakljokowilpunlsamaljanganlkerjalpoLitikl banyaklsetanlmenggangulmauljatuhlkanlpakljokowil,2020-12-22T18:05:09Z,0,0
Nurhayati Binti waginor,SudahldapatlbuktilgibranljanganlkerjalpoLitiklLagil kaLawl lkerjalpoLitiklLainlpoLitiklcari2masaLahlmauljatuhkanlpakljokow,2020-12-22T18:02:27Z,0,0
Nurhayati Binti waginor,PakljokowilseLesaikanlduLulmasaLahlgibranlcarilbuktilgibranltertuduhldah ldapatlbuktilgibranljanganlmasukllkerjalpoLitikl,2020-12-22T17:58:25Z,0,0
Nurhayati Binti waginor,Mantulpakljokowilpunlsamal janganll kerjalpoLitikll busuk2,2020-12-22T17:23:06Z,0,0
Nurhayati Binti waginor,Pakljokowil gibranljanganlkerjalpoLitikltakutlsaLahLaranglyalpakljokowilnantiyalpakjokowilsakitlhatilajarl yalpakljokowi,2020-12-22T17:21:41Z,0,0
Nurhayati Binti waginor,PakljokowilkaLawlgibrantaklpandailjadilgubernurtaklperLulLahlbuatl maLull pall jokowiltakl Susahl jaidilsusahl,2020-12-22T14:53:39Z,0,0
Nurhayati Binti waginor,Bail nasehatlgibranagarljanganllbuatllmaLu,2020-12-22T14:27:24Z,0,0
Nurhayati Binti waginor,Pakjokowill. Nasehatlkanlgipranjagal keLakuanlltakljagallmaLullkanllnamallpakjokowillkasihnasehatllg,2020-12-22T14:26:27Z,0,0
Nurhayati Binti waginor,Pakljokowil najjwal shihabl banding2presidenltetanggal Baha'i mana kelpresidenanl lpakjokowingomongl denganll mahadhirbanding2kanl presidentetangga,2020-12-22T14:23:44Z,0,0
