Name,Comment,Time,Likes,Reply Count
Hando yono,"UUD 1945 pasal 33, Perekonomian disusun sebagai usaha bersama dgn azas kekeluargaan. Artinya maju 1 maju semua, kaya 1 kaya bersama. Yg terjadi perekonomian di negeri kita disusun secara kapitalis, termasuk penetapan UU cipta kerja sbg wujud pemerintah tidak percaya diri dgn kemampuan rakyatnya sendiri. Aaagh.. pemerintahlah yg membuat kita kehilangan jati diri kita sbg bangsa yg kaya raya akan SDA dan berbudi pekerti luhur. Pinginnya instant tapi menabrak pondasi yg sdh dirumuskan oleh almarhum² para pendiri bangsa.
 Putusan itu cuman ada 2 konstitusi & inskonstitusi, pakai bersyarat segala. Aaagh.. ikut² tan juga kau..",2021-12-02T19:08:48Z,1,0
Habra sitnjak,Berarti d negara ini mk yg punya kuasa,2021-11-30T14:37:15Z,0,0
Habra sitnjak,Dimana pancasilais mk keadilan bagi seluruh rakyat indonesia,2021-11-30T14:34:22Z,0,0
Habra sitnjak,Mk tdk mndukung rakyat dn buruh,2021-11-30T14:32:55Z,0,0
Habra sitnjak,Uu ciptaker itu sdh sesuai dngan uu 45,2021-11-30T14:31:37Z,0,0
Creators,"Emang bener kah itu putusan nomor 4? Kok ada baca kalo pemerintah dan DPR tidak selesai dlm 2 tahun, maka uu ciptaker akan tidak berlaku seluruhnya. Gimana yg bener, atau saya yg slah arti?",2021-11-30T12:13:23Z,0,0
Djunaidi Abbas,Putusan MK ttg ciptaker sebagaimana yg dibacakan oleh ketua dinyatakan bertentangan dgn UUD 1945 mka seharusnya telah cacat hukum,2021-11-30T04:13:03Z,0,0
Janoko Raden,Cacat secara formil tp masih diberlakukan...berarti meneruskan barang yg salah...kok gk pake UU ketenagakerjaan yg lama...,2021-11-30T00:08:45Z,0,0
Hendro Setiawan,Sing untung bos karo negara..... Rakyat kere ajeg.... Wajib demo habis2 san,2021-11-29T15:00:55Z,0,0
Nur Aman,"keputusan ke 5 berarti pemerintah tdk boleh melakukan penangguhan segala kebijakan strategis dan... tdk dibenarkan menerbitkan peraturan baru yg terkait UU Cipta kerja, ya artinya sama dengan tdk diberlakukan lagi ya...? gimana pakar hukum tata negara.",2021-11-29T14:37:03Z,0,0
